"¿ù°£","M2"
"2010.02",1595403.8
"2010.03",1607896.1
"2010.04",1621176.9
"2010.05",1630904.7
"2010.06",1647981.2
"2010.07",1653057.5
"2010.08",1653907.2
"2010.09",1659400.1
"2010.10",1669376.6
"2010.11",1679909.9
"2010.12",1682871.9
"2011.01",1676448.8
"2011.02",1674390.5
"2011.03",1677475.9
"2011.04",1684792.3
"2011.05",1690543
"2011.06",1697204.2
"2011.07",1705451.5
"2011.08",1719437.8
"2011.09",1729531.1
"2011.10",1742645.4
"2011.11",1753296.4
"2011.12",1756597.4
"2012.01",1757058.7
"2012.02",1762988.4
"2012.03",1773172.9
"2012.04",1777114.7
"2012.05",1784220.5
"2012.06",1796981.5
"2012.07",1807289.2
"2012.08",1817134.9
"2012.09",1819290.1
"2012.10",1822420.9
"2012.11",1830280.3
"2012.12",1835556.7
"2013.01",1841128.1
"2013.02",1857135
"2013.03",1862405.5
"2013.04",1867726.3
"2013.05",1870289.7
"2013.06",1884193.2
"2013.07",1890728.6
"2013.08",1888658.4
"2013.09",1903187.1
"2013.10",1908557.6
"2013.11",1923339.2
"2013.12",1932026.4
"2014.01",1937045.6
"2014.02",1954340.7
"2014.03",1964954
"2014.04",1970361.6
"2014.05",1982390.9
"2014.06",1999376.3
"2014.07",2013935.1
"2014.08",2031777.2
"2014.09",2037600.8
"2014.10",2051149.8
"2014.11",2083253.5
"2014.12",2088729.8
"2015.01",2092223.5
"2015.02",2109892.3
"2015.03",2127887.8
"2015.04",2148114.7
"2015.05",2166741.1
"2015.06",2179561.1
"2015.07",2200510.9
"2015.08",2218660.3
"2015.09",2230000.7
"2015.10",2232432
"2015.11",2242848.2
"2015.12",2246070.1
"2016.01",2261356.4
"2016.02",2285313.5
"2016.03",2294544.7
"2016.04",2299081.3
"2016.05",2312801.2
"2016.06",2334256.2
"2016.07",2352245.1
"2016.08",2377323.1
"2016.09",2383040.5
"2016.10",2391059.2
"2016.11",2406393.5
"2016.12",2414040.9
"2017.01",2417807.6
"2017.02",2420285.6
"2017.03",2436994.7
"2017.04",2450220.9
"2017.05",2454386.7
"2017.06",2470861.1
"2017.07",2472110.4
"2017.08",2485629.9
"2017.09",2492388.2
"2017.10",2504594.2
"2017.11",2521786.3
"2017.12",2527641.3
"2018.01",2551196
"2018.02",2570764.6
"2018.03",2578361.8
"2018.04",2590840.7
"2018.05",2600274.3
"2018.06",2622268.3
"2018.07",2637421.8
"2018.08",2651503.4
"2018.09",2652829.5
"2018.10",2674506.5
"2018.11",2692974.8
"2018.12",2699882.3
"2019.01",2716722
"2019.02",2730481.9
"2019.03",2752723.9
"2019.04",2763058
"2019.05",2771633
"2019.06",2799248
"2019.07",2811543.7
"2019.08",2832566.1
"2019.09",2853272
"2019.10",2874176.1
"2019.11",2901465.4
"2019.12",2912434.1
"2020.01",2929009.2
"2020.02",2954603.8
"2020.03",2984304.3
"2020.04",3015816.4
"2020.05",3046050.5
"2020.06",3077284.1
"2020.07",3093300.1
"2020.08",3100373.4
"2020.09",3115238.9
"2020.10",3152811.6
"2020.11",3183500.9
"2020.12",3197671.2
"2021.01",3223486.7
"2021.02",3271405.8
"2021.03",3313182.2
"2021.04",3358874.9
"2021.05",3379753.9
"2021.06",3413899.8
"2021.07",3445243
"2021.08",3487634.1
"2021.09",3513220.2
